words
fall
decrease
down
bearish
negative
fell
losses
slump
loss
lower
dipped
slowdown
plummeted
decline
plunges
Profit falls
tepid market
default
drop
Drop in revenue
Muted sales
bad loans
non-performing assets
Under the lens
Share rout
Probing insider trading
insider trading
